Game,Vistor,Home
01/01/2026,HOU,BKN
01/01/2026,MIA,DET
01/01/2026,PHI,DAL
01/01/2026,BOS,SAC
01/01/2026,UTA,LAC
01/02/2026,SAS,IND
01/02/2026,BKN,WAS
01/02/2026,DEN,CLE
01/02/2026,ATL,NYK
01/02/2026,ORL,CHI
01/02/2026,CHA,MIL
01/02/2026,POR,NOP
01/02/2026,SAC,PHX
01/02/2026,OKC,GSW
01/02/2026,MEM,LAL
01/03/2026,MIN,MIA
01/03/2026,PHI,NYK
01/03/2026,ATL,TOR
01/03/2026,CHA,CHI
01/03/2026,POR,SAS
01/03/2026,HOU,DAL
01/03/2026,UTA,GSW
01/03/2026,BOS,LAC
01/04/2026,DET,CLE
01/04/2026,IND,ORL
01/04/2026,DEN,BKN
01/04/2026,NOP,MIA
01/04/2026,MIN,WAS
01/04/2026,OKC,PHX
01/04/2026,MIL,SAC
01/04/2026,MEM,LAL
01/05/2026,NYK,DET
01/05/2026,CHI,BOS
01/05/2026,ATL,TOR
01/05/2026,PHX,HOU
01/05/2026,CHA,OKC
01/05/2026,DEN,PHI
01/05/2026,GSW,LAC
01/05/2026,UTA,POR
01/06/2026,CLE,IND
01/06/2026,ORL,WAS
01/06/2026,SAS,MEM
01/06/2026,MIA,MIN
01/06/2026,LAL,NOP
01/06/2026,DAL,SAC
01/07/2026,TOR,CHA
01/07/2026,CHI,DET
01/07/2026,WAS,PHI
01/07/2026,NOP,ATL
01/07/2026,DEN,BOS
01/07/2026,ORL,BKN
01/07/2026,LAC,NYK
01/07/2026,LAL,SAS
01/07/2026,PHX,MEM
01/07/2026,UTA,OKC
01/07/2026,MIL,GSW
01/07/2026,HOU,POR
01/08/2026,IND,CHA
01/08/2026,CLE,MIN
01/08/2026,DAL,UTA
01/09/2026,TOR,BOS
01/09/2026,PHI,ORL
01/09/2026,NOP,WAS
01/09/2026,LAC,BKN
01/09/2026,OKC,MEM
01/09/2026,ATL,DEN
01/09/2026,NYK,PHX
01/09/2026,SAC,GSW
01/09/2026,HOU,POR
01/09/2026,MIL,LAL
01/10/2026,MIN,CLE
01/10/2026,MIA,IND
01/10/2026,LAC,DET
01/10/2026,SAS,BOS
01/10/2026,DAL,CHI
01/10/2026,CHA,UTA
01/11/2026,NOP,ORL
01/11/2026,BKN,MEM
01/11/2026,PHI,TOR
01/11/2026,NYK,POR
01/11/2026,SAS,MIN
01/11/2026,MIA,OKC
01/11/2026,MIL,DEN
01/11/2026,WAS,PHX
01/11/2026,ATL,GSW
01/11/2026,HOU,SAC
01/12/2026,UTA,CLE
01/12/2026,BOS,IND
01/12/2026,PHI,TOR
01/12/2026,BKN,DAL
01/12/2026,LAL,SAC
01/12/2026,CHA,LAC
01/13/2026,PHX,MIA
01/13/2026,CHI,HOU
01/13/2026,MIN,MIL
01/13/2026,DEN,NOP
01/13/2026,SAS,OKC
01/13/2026,ATL,LAL
01/13/2026,POR,GSW
01/14/2026,TOR,IND
01/14/2026,CLE,PHI
01/14/2026,UTA,CHI
01/14/2026,BKN,NOP
01/14/2026,DEN,DAL
01/14/2026,NYK,SAC
01/14/2026,WAS,LAC
01/15/2026,MEM,ORL
01/15/2026,PHX,DET
01/15/2026,BOS,MIA
01/15/2026,OKC,HOU
01/15/2026,MIL,SAS
01/15/2026,UTA,DAL
01/15/2026,NYK,GSW
